,slug,type,available,bundled,vendor,brand,collections,catalogs,thumbnail,name,summary,description,notices,price,discount,taxCategories,shipping,options,bundles,model_name,weight,dimension,payload,reach,autonomous,warranty,related_doc_url_1,related_doc_url_2,related_doc_url_3,related_doc_url_4,related_doc_url_5,related_doc_url_6,meta
https://www.cobotwebshop.com/en/product/h-2515/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]","https://www.cobotwebshop.com/wp-content/uploads/2020/07/h2515-500x500-1.png,https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/H2515_4.png,https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/H2515_3.png",{'0': 'Doosan H2515'},{},"{'0': 'The Doosan H2515 is the heavier version of the High Power H series (compared to the H2017).', '1': 'This cobot has a weight capacity of 25kg and a reach of 1500mm. All Doosan cobots have F / T sensors in all joints, which makes them very sensitive to unwanted back pressure (collisions).', '2': 'Multiple specifications can be found in the next tab.', '3': 'Suitable applications'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-H25'},{},{'Weight': '72 kg'},{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/h-2017/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]","https://www.cobotwebshop.com/wp-content/uploads/2020/07/h2017-500x500-1.png,https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/H_2017_4.png,https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/H_2017_3.png,https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/H_2017_2.png",{'0': 'H2017'},{},"{'0': 'The Doosan H2017 is the light version of the High Power H series (compared to the H2515).', '1': 'This cobot has a weight capacity of 20kg and reach of 1700mm. All Doosan cobot have F / T sensors in all joints, which makes them very sensitive to unwanted back pressure (collisions).', '2': 'Multiple specifications can be found in the next tab.', '3': 'Suitable applications', '4': 'ca. 160°; 100°/sec', '5': 'ca. 360°; 180°/sec', '6': 'IP54', '7': 'In progress', '8': '150 x 150 mm', '9': '74kg'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-H20'},{},"{'Weight': '74 kg', 'Pendant': '', 'Herhaalnauwkeurigheid': '', 'Temperatuurbereik': '', 'Draagkracht': '', 'Bereik': '', 'Graden bewegingsvrijheid': '', 'Programmering': '', 'Basis': '', 'Elleboog': 'ca. 160°; 100°/sec', 'Pols 1': '', 'Pols 2': '', 'Pols 3': 'ca. 360°; 180°/sec', 'IP classificatie': 'IP54', 'ISO Class Cleanroom': 'In progress', 'Voetafdruk': '150 x 150 mm', 'Gewicht': '74kg'}",{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/doosan_m1509/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]",https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/DOOSAN-M1509-400x400.png,{'0': 'M1509'},{'0': 'robotarm'},"{'0': 'The Doosan M1509 has the highest load capacity of the series of 15kgs, but has a reach of 900mm. This cobot is efficiënt in handling heavy objects.', '1': 'The GUI based Touch interface of the control panel can be compared to smartphones or tablets. A robot’s movement is indicated by means of icons. Functionality can be easily added or altered with Drag & Drop in order to complete the task at hand. The movements of the robot arm are clearly indicated on a timeline with icons.', '2': 'The additional teach cockpit on the robot arm is an advanced solution for direct programming without control panel with 5 buttons for selecting different programming modes and for moving the axes.', '3': 'The M1013 has a coating that can resist among other things cooling lubricants in a CNC machine tool.', '4': 'Extra options:', '5': 'Connections', '6': '`', '7': 'Control panel', '8': '* network connection possible for a large variety of communication systems', '9': 'Programming tablet', '10': '15kg', '11': 'GUI-gebaseerd touch interface teach pad', '12': 'approx 360 ° approx 150 °/sec', '13': 'ca. 360 ° ca. 150 °/sec', '14': 'approx 150 ° approx 180 °/sec, ca. 150 ° ca. 180 °/sec', '15': 'Ø 150mm'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-M1509'},{},{},{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/doosan_m1013/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]",https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/DOOSAN-M1013-400x400.png,{'0': 'M1013'},{'0': 'robotarm'},"{'0': 'The Doosan M1013 is a standard model. The cobot has a load capacity of 10kg and a reach of 1,300mm.', '1': 'The GUI based Touch interface of the control panel can be compared to smartphones or tablets. A robot’s movement is indicated by means of icons. Functionality can be easily added or altered with Drag & Drop in order to complete the task at hand. The movements of the robot arm are clearly indicated on a timeline with icons.', '2': 'The additional teach cockpit on the robot arm is an advanced solution for direct programming without control panel with 5 buttons for selecting different programming modes and for moving the axes.', '3': 'The M1013 has a coating that can resist among other things cooling lubricants in a CNC machine tool.', '4': 'Extra options:', '5': 'Connections', '6': '`', '7': 'Control panel', '8': '* network connection possible for a large variety of communication systems', '9': 'Programming tablet', '10': '10 kg', '11': '1.300 mm', '12': 'GUI-gebaseerd touch interface teach pad', '13': 'Ø 150mm'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-M1013'},{},{},{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/a-0912/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]",https://www.cobotwebshop.com/wp-content/uploads/2020/06/doosan-a0912-500x500-1.png,{'0': 'A0912'},{},"{'0': 'The A-series cobots from Doosan are fast and have a short ROI (also fast in payback time).', '1': 'These cobots are slightly stripped down as standard, but have various options. This makes them adaptable to your needs. The A0912 has a weight capacity of 9kg and reach of 1200mm. The ‘s’ variant has a built-in Force / Torque sensor in the last joint.', '2': 'View more specifications under the specification tab. Under the download tab you will find an overview of the differences between the M-series and A-series.', '3': 'Teach Pendant', '4': 'Ja', '5': '0,05 mm', '6': '9 kg', '7': 'offline; as option teach pendant, smart pendant of teachcockpit', '8': 'ca. 360° ca. 180°/sec', '9': 'ca. 160° ca. 180°/sec', '10': '150 x 150 mm'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-DA12'},{},"{'Weight': '27 kg', 'Pendant': 'Teach Pendant', ""A-serie 's' variant"": 'Ja', 'Herhaalnauwkeurigheid': '0,05 mm', 'Temperatuurbereik': '', 'Draagkracht': '9 kg', 'Bereik': '', 'Graden bewegingsvrijheid': '', 'Programmering': 'offline; as option teach pendant, smart pendant of teachcockpit', 'Basis': 'ca. 360° ca. 180°/sec', 'Schouder': '', 'Elleboog': 'ca. 160° ca. 180°/sec', 'Pols 2': '', 'Pols 3': '', 'IP classificatie': '', 'ISO Class Cleanroom': '', 'Voetafdruk': '150 x 150 mm', 'Gewicht': ''}",{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/doosan_m0609/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]",https://www.cobotwebshop.com/wp-content/uploads/2019/04/DOOSAN-M0609-500x500-1.png,{'0': 'M0609'},{'0': 'robotarm'},"{'0': 'The Doosan M0609 is optimally suited for representative tasks at high speed and in small workspaces.', '1': 'The GUI based Touch interface of the control panel can be compared to smartphones or tablets. A robot’s movement is indicated by means of icons. Functionality can be easily added or altered with Drag & Drop in order to complete the task at hand. The movements of the robot arm are clearly indicated on a timeline with icons.', '2': 'The additional teach cockpit on the robot arm is an advanced solution for direct programming without control panel with 5 buttons for selecting different programming modes and for moving the axes.', '3': 'The M0609 has a coating that can resist among other things cooling lubricants in a CNC machine tool. Doosan cobots are able to accurately measure objects up to 20 g.', '4': 'Extra options:', '5': 'Connections', '6': '`', '7': 'Control panel', '8': '* network connection possible for a large variety of communication systems', '9': 'Programming tablet'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-M0609'},{},{},{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/doosan_m0617/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]",https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/DOOSAN-M0617-400x400.png,{'0': 'M0617'},{'0': 'robotarm'},"{'0': 'The Doosan M0617 has a load capacity of 6kg with a reach of as much as 1,700mm. This cobot is efficient for tasks over long distances.', '1': 'The GUI based Touch interface of the control panel can be compared to smartphones or tablets. A robot’s movement is indicated by means of icons.', '2': 'Functionality can be easily added or altered with Drag & Drop in order to complete the task at hand. The movements of the robot arm are clearly indicated on a timeline with icons.', '3': 'The additional teach cockpit on the robot arm is an advanced solution for direct programming without control panel with 5 buttons for selecting different programming modes and for moving the axes.', '4': 'The M0617 has a coating that can resist among other things cooling lubricants in a CNC machine tool.', '5': 'Extra options:', '6': 'Connections', '7': '`', '8': 'Control panel', '9': '* network connection possible for a large variety of communication systems', '10': 'Programming tablet'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-M0617'},{},{},{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/a-0509/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]",https://www.cobotwebshop.com/wp-content/uploads/2020/06/doosan-a0509-500x500-1.png,{'0': 'A0509'},{},"{'0': 'The A-series cobots from Doosan are fast and have a short ROI (also fast in payback time).', '1': 'These cobots are slightly stripped down as standard, but have various options. This makes them adaptable to your needs. The A0509 has a weight capacity of 5kg and reach of 900mm.\xa0The ‘s’ variant has a built-in Force / Torque sensor in the last joint.', '2': 'View more specifications under the specification tab. Under the download tab you will find an overview of the differences between the M-series and A-series.', '3': 'Teach Pendant', '4': 'Ja', '5': '± 0,03 mm', '6': 'offline; as option teach pendant, smart pendant of teachcockpit', '7': 'ca. 360° ca. 180°/sec', '8': 'ca. 160° ca. 180°/sec'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-DAS'},{},"{'Weight': '27 kg', 'Pendant': 'Teach Pendant', ""A-serie 's' variant"": 'Ja', 'Herhaalnauwkeurigheid': '± 0,03 mm', 'Temperatuurbereik': '', 'Draagkracht': '', 'Bereik': '', 'Graden bewegingsvrijheid': '', 'Programmering': 'offline; as option teach pendant, smart pendant of teachcockpit', 'Basis': 'ca. 360° ca. 180°/sec', 'Schouder': '', 'Elleboog': 'ca. 160° ca. 180°/sec', 'Pols 1': '', 'Pols 2': '', 'Pols 3': '', 'IP classificatie': '', 'ISO Class Cleanroom': '', 'I/O poorten': '', 'Gewicht': ''}",{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/ur16e-cobot/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]","https://www.cobotwebshop.com/wp-content/uploads/2019/09/UR-16e-500x500-2.png,https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/UR16e_all_01.jpg",{'0': 'UR16e'},{},"{'0': 'This cobot from Universal Robots is the newest in the series with a load capacity of 16 kilos and a reach of 900 mm. Only in the e-series version (not CB3). It is made with specific applications in mind: palletizing and packaging. In addition, there is a need within the market for a cobot with sufficient bearing capacity to mount heavier tools, whereby the cobot can also handle a workpiece. This cobot corresponds to this.', '1': 'The control box data', '2': '0,05 mm', '3': '0-50 °C', '4': 'approx 360 ° approx 180 °/sec', '5': 'Minder dan 65 dB(A)', '6': 'Ø 190mm', '7': '33.1 kg'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-C-16e'},{},{},{},{},{},{},{},{},{},{},{},{},object
https://www.cobotwebshop.com/en/product/ur10e-cobot/,,custom,,,,,[],"[{'title': {}, 'description': {}, 'image': ''}]","https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/ur10e.png,https://www.cobotwebshop.com/wp-content/uploads/nc/catalog/demo/product/URkappen-OR-scaled.jpg",{'0': 'UR10e'},"{'0': 'cobots', '1': 'robotarm'}","{'0': 'The new generation of UR cobots; the e-series. Similar to the UR10, but with a number of differences. The e-series cobots from Universal Robots are more precise and sensitive due to a built-in Force / Torque sensor in the last joint, the teach pendant has had a redesign, the software has become more user-friendly, there are more safety functions with adjustable stop time and distance, the robot arm has become more silent and a UART interface has been added.', '1': 'Why still combine an external F / T sensor with an UR cobot? Ask us!', '2': 'The control box data', '3': 'IP classification IP44', '4': 'ISO Class Cleanroom 6', '5': 'I / O ports digitally in & out: 16, analog in & out: 2', '6': 'I / O power supply 24V 2A', '7': 'Communication TCP / IP 100Mbit, Modbus TCP, Profinet, Ethernet IP, 1 USB 2.0, 1 USB 3.0', '8': 'Power source 100-240 VAC, 47-440 Hz', '9': 'Dimensions (LxWxH) 475mm x 268mm x 423mm', '10': 'Weight 13.6 kg', '11': 'Material of steel', '12': '* Personalize your cobot with our anodized aluminum caps with engraved Olmia Robotics logo.', '13': 'ja'}","[{'slug': '', 'title': {}, 'items': [{'title': {}, 'description': {}}]}]","{'original': '', 'type': ''}","{'type': '', 'value': ''}",[],"{'methods': [], 'calculation': ''}",{},"[{'required': '', 'name': {}, 'items': [{'product': '', 'variant': ''}]}]",{'0': 'OR-UR-10e'},{},"{'Weight': '33.5 kg', 'incl. aluminium UR kappen': 'ja'}",{},{},{},{},{},{},{},{},{},{},object
