,product,brand,type,image,highlight,description,spec,delivery,related
https://bot-hive.com/product/nao-dino-autonomous-vegetable-weeding-robot,['NAÏO - DINO Autonomous Vegetable Weeding Robot'],['Naïo Technologies'],['Agricultural Robots'],['https://files.bot-hive.com/images/bothive/dino-tien-tran-hans-v3_f39fd280-fd75-11ea-a6db-375f39bccb75.jpeg?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '1000', 'Servicing (Months)': '5', 'Programming Level': 'Beginner'}","['Product Description\nThe Dino robot is designed to make vegetable weeding on large-scale vegetable farms easier. Its main asset is that it works autonomously, so you have more time for tasks with higher added value.\nDino is the first entirely autonomous electric robot to mechanically weed vegetable crops. The robot is designed by Naïo Technologies and has been on the market since early 2017. Today, more than 20 robots now weed our customers’ and partners’ vegetable fields in France and in Europe.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 800kg', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/nao-ted-vineyard-weeding-robot', '1': 'https://bot-hive.com/product/nao-oz-weeding-robot', '2': 'https://bot-hive.com/product/farmbot-genesis-v15', '3': 'https://bot-hive.com/product/octinion-curion'}"
https://bot-hive.com/product/fanuc-cr-35ia,['Fanuc - CR-35iA'],['FANUC UK'],['Collaborative Robots'],['https://files.bot-hive.com/images/bothive/fanuc_cr-35ia_0001_7b47fb50-c778-11eb-8767-e76d95582150.jpeg?d=232x193&c=contain'],"{'Launched in': '2015', 'Units Sold': '100', 'Servicing (Months)': '5', 'Programming Level': 'Beginner'}","['Product Description\nThe future lies in the collaboration\nImagine a world without safety fences, a world in which humans work side-by-side with robots. In this world, robots would execute all strenuous tasks, enabling humans to dedicate their precious time to lighter, more skilled or demanding tasks.\nWith FANUC collaborative robots, that world has already come into existence. By integrating them into existing production environments, robots directly collaborate with humans, becoming a crucial part of the team. Alongside humans, they take over tedious, repetitive tasks, lifting up to 35 kg, thus maintaining the human’s health while automating entire assembly lines.']","{'Payload': '24kg', 'Reach': ' 1813cm', 'Axis': ' 6', 'Weight': ' 990kg', 'Repeatability': ' 0.03mm', 'Speed': ' 125mm/s'}",[],"{'0': 'https://bot-hive.com/product/fanuc-crx-10ial', '1': 'https://bot-hive.com/product/fanuc-cr-14ial', '2': 'https://bot-hive.com/product/fanuc-cr-7ia', '3': 'https://bot-hive.com/product/fanuc-crx-10ia'}"
https://bot-hive.com/product/franka-emika-panda,['Franka Emika Panda'],['Franka Emika'],['Collaborative Robots'],['https://files.bot-hive.com/images/bothive/panda_cobofact_web-300x300_66e50b50-c5c4-11ea-98c3-89f7482ba1be.png?d=232x193&c=contain'],"{'Launched in': '2016', 'Units Sold': '50', 'Servicing (Months)': '12', 'Programming Level': 'Beginner'}","[""Product Description\nGroundbreaking innovation for cost-efficient and scalable solutions. We redefined robotics with the world's most advanced robotic system Panda Powertool, the fastest selling industry - suited robotic system. Our customers, from SMBs to global enterprises - profit from this novel east - to - use, flexible, cost efficient and scalable solution. ""]","{'Payload': '3kg', 'Reach': ' 855cm', 'Axis': ' 7', 'Weight': ' 17.8kg', 'Repeatability': ' 0.1mm', 'Speed': ' 162.85mm/s'}",['Price:\n£££'],"{'0': 'https://bot-hive.com/product/denso-cobotta', '1': 'https://bot-hive.com/product/elephant-robotics-mycobot-1', '2': 'https://bot-hive.com/product/productive-robotics-ob7', '3': 'https://bot-hive.com/product/productive-robotics-ob7-stretch'}"
https://bot-hive.com/product/tima-tima-disinfector,['TIMA - TIMA Disinfector'],['TIMA'],['Disinfectant Robots'],['https://files.bot-hive.com/images/bothive/robot_tima_disinfector_assistant-1-1_d0e20d50-5714-11eb-be29-419249af7219.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nTIMA robot disinfector is a robotic system that can perform high-quality disinfection of premises without people while autonomously navigating the route. Robot is equipped with an antibacterial re-circulator and a quartz UV lamp for disinfection of premises.'],"{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 2 weeks'],"{'0': 'https://bot-hive.com/product/pudu-puductor-ii-2', '1': 'https://bot-hive.com/product/pudu-puductor', '2': 'https://bot-hive.com/product/bettaroe-robotics-uv-robot', '3': 'https://bot-hive.com/product/locus-robotics-locusbots'}"
https://bot-hive.com/product/bionichive-squid,['BionicHIVE - SqUID'],['BionicHIVE'],['Industrial Mobile Robots'],['https://files.bot-hive.com/images/bothive/unnamed-2_1d745140-557c-11eb-8eb9-d5be9df40400.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nSqUID, the warehouse fully-automated solution that easily adapts to the customer’s current working model of operation, using the same facilities, same boxes and same shelving racks. The solution picks from floor to ceiling and retrofits onto any existing warehouse infrastructure.\nSqUID consists of a synchronized autonomous robotic fleet that has 3-dimensional movement capabilities, allowing a fully flexible operation. A high-end embedded control system and smart real-time data analysis allow BionicHIVE’s algorithmic engine to dynamically learn problems created in one warehouse and apply resolutions to all warehouses in the network.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 2 weeks'],"{'0': 'https://bot-hive.com/product/mir-250-reseller', '1': 'https://bot-hive.com/product/waypoint-robotics-vector-hd', '2': 'https://bot-hive.com/product/tima-tima-logistic', '3': 'https://bot-hive.com/product/hai-robotics-haipick-a42d-double-deep-acr'}"
https://bot-hive.com/product/doosan-a0509,['Doosan - A0509'],['Doosan Robotics'],['Collaborative Robots'],['https://files.bot-hive.com/images/bothive/download-6_16bb5e90-eae5-11ea-89fd-871e9c4ab9c8.jpeg?d=232x193&c=contain'],"{'Launched in': '2020', 'Units Sold': '40', 'Servicing (Months)': '36+', 'Programming Level': 'Beginner'}","['Product Description\nThe Doosan Robotics A-Series is your starting line to MAKE MORE with cobots. Designed for speed and cost-effectiveness, the A-series makes taking the first step to integrating cobots into your shop an easy choice. The A-series features 2x faster joint speed for faster productivity and efficiency, and has PL e Cat 4 safety rating to protect your cobot and your team. The A-series S models feature high-tech force sensors for more delicate tasks requiring human-like dexterity.']","{'Payload': '5kg', 'Reach': ' 900cm', 'Axis': ' 6', 'Weight': ' 12kg', 'Repeatability': ' 0.03mm', 'Speed': ' 270mm/s'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/doosan-a0912s', '1': 'https://bot-hive.com/product/doosan-a0912', '2': 'https://bot-hive.com/product/doosan-h2017', '3': 'https://bot-hive.com/product/doosan-m1509'}"
https://bot-hive.com/product/schunk-mpg-plus-40,['Schunk - MPG-Plus 40'],['Schunk Intec Ltd'],['2 Finger Gripper'],['https://files.bot-hive.com/images/bothive/csm_im0005830_d0b150e91e_36e14450-e789-11ea-a74a-4d70d850659b.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\n2-finger parallel gripper with smooth roller guides of the base jaws with 25% higher gripping force\nGripping and moving of small to medium-sized work pieces in low contaminated environments, such as assembly, testing, laboratory and pharmaceutical industry']","{'Payload': '0.7kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 0.18kg', 'Repeatability': ' 0.02mm', 'Speed': ' --'}","['Delivery Times: 1 week', 'Price:\n£££']","{'0': 'https://bot-hive.com/product/schunk-mpg-plus-20', '1': 'https://bot-hive.com/product/schunk-mpg-plus-16-is', '2': 'https://bot-hive.com/product/schunk-mpg-plus-64-is-1', '3': 'https://bot-hive.com/product/schunk-mpg-plus-16-10'}"
https://bot-hive.com/product/kuka-kr-3-agilus-r540,['KUKA - KR 3 AGILUS R540'],['Kuka UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/kuka-kr-3-agilus-3d-model-rigged-max-obj-fbx_822dd5a0-d167-11ea-b213-8fdd07e1405b.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nKUKA expertise, packed into minimal space. With the KR 3 AGILUS, we are setting new standards for robots in the 3 kilogram class. This lightweight robot produces the smallest of components in manufacturing cells measuring just 600 x 600 mm in an agile and cost-efficient manner and with top precision.']","{'Payload': '3kg', 'Reach': ' 541cm', 'Axis': ' 6', 'Weight': ' 265kg', 'Repeatability': ' 0.02mm', 'Speed': ' --'}",['Delivery Times: 4 weeks'],"{'0': 'https://bot-hive.com/product/kuka-kr-agilus-6-r900-ex', '1': 'https://bot-hive.com/product/kuka-kr-quantec-120-r2700-2', '2': 'https://bot-hive.com/product/kuka-kr-470-2-pa', '3': 'https://bot-hive.com/product/kuka-kr-cybertech-nano-kr-10-r1420'}"
https://bot-hive.com/product/schunk-co-act-egp-c-50-n-n-ktoe,['Schunk - Co-Act EGP-C 50-N-N-KTOE'],['Schunk Intec Ltd'],['Co-Act Gripper'],['https://files.bot-hive.com/images/bothive/csm_im0025035_e6d5baa9a9_c58d92d0-edd8-11ea-9afc-d387a5bad676.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nElectric 2-finger parallel gripper certified for collaborative operation with actuation via 24 V and digital I/O. Gripping and moving small and medium-sized work pieces with flexible force in collaborative operation in the areas of assembly, electronics and machine tool loading.']","{'Payload': '1.05kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 0.88kg', 'Repeatability': ' 2mm', 'Speed': ' --'}",['Delivery Times: 1 week'],"{'0': 'https://bot-hive.com/product/schunk-co-act-egp-c-50-n-n-urek', '1': 'https://bot-hive.com/product/schunk-co-act-egp-c-64-n-n-keti', '2': 'https://bot-hive.com/product/schunk-co-act-egp-c-64-n-n-fcr7', '3': 'https://bot-hive.com/product/schunk-co-act-egp-c-64-n-n-urek'}"
https://bot-hive.com/product/doosan-m0609-3,['Doosan - M0609'],['Doosan Robotics'],['Collaborative Robots'],['https://files.bot-hive.com/images/bothive/download-5_bba6e680-eae1-11ea-9e73-0ddc94701330.jpeg?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '25', 'Servicing (Months)': '36+', 'Programming Level': 'Beginner'}","['Product Description\nDoosan Robotics M-Series offers a range of models designed to handle complex tasks with precision and efficiency. The M-Series features 6 highly sensitive torque sensors capable of detecting obstructions in the workspace allowing people to work safely alongside the cobot. Additionally, the M-series’ range of models reaches up to 15 kg (33 lbs) payload capacity and 1,700 mm (66.9 in.) reach, and is capable of being mounted in a variety of locations including walls, roofs, and floors.']","{'Payload': '6kg', 'Reach': ' 900cm', 'Axis': ' 6', 'Weight': ' 9kg', 'Repeatability': ' 0.05mm', 'Speed': ' 192.5mm/s'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/doosan-m1509', '1': 'https://bot-hive.com/product/doosan-m0617', '2': 'https://bot-hive.com/product/doosan-a0912s', '3': 'https://bot-hive.com/product/doosan-a0509'}"
