,brand,name,price,image,option,type,Description
https://thinkbotsolutions.com//collections/all/products/onrobot-rg2-fingertips,OnRobot,OnRobot RG2 Accessories,"{'option 0': '$93.00', 'option 1': '$165.00', 'option 2': '$165.00', 'option 3': '$60.00'}","{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/104351_RG2_60x.jpg?v=1621900596', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/105284_RG2_100_60x.jpg?v=1621900596', '2': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/100669RG2_60x.jpg?v=1621900542', '3': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/104366_RG2_50_60x.jpg?v=1621900542'}","{'option 0': 'RG2 X-shape Fingertips', 'option 1': 'RG2 Fingertip Extension 50 mm', 'option 2': 'RG2 Fingertip Extension 100 mm', 'option 3': 'RG2 Fingertip Set'}",Home>All Products>OnRobot RG2 Accessories,Accessories for your OnRobot RG2 gripper. Shipping: $60 per shipment. Free if ordered with OnRobot gripper.
https://thinkbotsolutions.com//collections/all/products/onrobot-mg10,OnRobot,OnRobot MG10 - Electric Magnetic Gripper,"{'option 0': '$2,300.00', 'option 1': '$2,929.00', 'option 2': '$2,839.00', 'option 3': '$3,505.00', 'option 4': '$3,505.00', 'option 5': '$3,505.00', 'option 6': '$3,505.00', 'option 7': '$3,505.00', 'option 8': '$3,505.00', 'option 9': '$2,839.00', 'option 10': '$3,505.00', 'option 11': '$3,505.00', 'option 12': '$3,505.00', 'option 13': '$3,505.00', 'option 14': '$3,505.00', 'option 15': '$3,505.00', 'option 16': '$3,505.00', 'option 17': '$3,505.00', 'option 18': '$3,505.00', 'option 19': '$3,505.00', 'option 20': '$3,505.00', 'option 21': '$3,505.00', 'option 22': '$3,505.00', 'option 23': '$3,505.00', 'option 24': '$3,505.00', 'option 25': '$2,839.00', 'option 26': '$3,505.00'}","{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/MG10_bottom_60x.jpg?v=1615576795', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/MG10_mid_QC_metalpads_60x.jpg?v=1616188913', '2': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/MG10_cylinder_60x.jpg?v=1616188913', '3': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/UR10_MG10_60x.jpg?v=1616188913', '4': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Doosan_MG10_60x.jpg?v=1616188913', '5': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Techman_MG10_60x.jpg?v=1616188913', '6': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kuka_MG10_60x.jpg?v=1616188913', '7': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Fanuc_MG10_60x.jpg?v=1616188913', '8': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Fanuc_CRX_MG10_60x.jpg?v=1616188913', '9': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kawasaki_MG10_60x.jpg?v=1616188913', '10': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Yaskawa_MG10_60x.jpg?v=1616188913', '11': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Nachi_MG10_60x.jpg?v=1616188913', '12': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Hanwha_MG10_60x.jpg?v=1616188913', '13': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/ABB_MG10_60x.jpg?v=1616188913', '14': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Denso_MG10_60x.jpg?v=1616188913', '15': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kassow_MG10_60x.jpg?v=1616188913'}","{'option 0': 'No Robot Kit', 'option 1': 'UR Tool Flange Connection', 'option 2': 'UR Kit with Compute Box', 'option 3': 'Doosan', 'option 4': 'Techman/Omron TM', 'option 5': 'KUKA Type A', 'option 6': 'KUKA Type B', 'option 7': 'FANUC Type B', 'option 8': 'FANUC CRX Tool Flange Connection', 'option 9': 'FANUC CRX Kit with Compute Box', 'option 10': 'Kawasaki Type B', 'option 11': 'Kawasaki Type C', 'option 12': 'Kawasaki Type D', 'option 13': 'Kawasaki Type E', 'option 14': 'Yaskawa Type F', 'option 15': 'Yaskawa Type G', 'option 16': 'Yaskawa Type H', 'option 17': 'Nachi Type I', 'option 18': 'Nachi Type J', 'option 19': 'Hanwha', 'option 20': 'ABB Type B', 'option 21': 'ABB Type C', 'option 22': 'Denso Type B', 'option 23': 'Denso Type C', 'option 24': 'Kassow Tool Flange Connection', 'option 25': 'Kassow Kit with Compute Box'}",Home>All Products>OnRobot MG10 - Electric Magnetic Gripper,Free shipping! Mount Options: Robot Kit Options:
https://thinkbotsolutions.com//collections/all/products/onrobot-2fg7,OnRobot,"OnRobot 2FG7 - Sealed, Compact 2-Finger Parallel Gripper","{'option 0': '$3,550.00', 'option 1': '$4,089.00', 'option 2': '$4,089.00', 'option 3': '$4,755.00', 'option 4': '$4,755.00', 'option 5': '$4,755.00', 'option 6': '$4,755.00', 'option 7': '$4,755.00', 'option 8': '$4,755.00', 'option 9': '$4,755.00', 'option 10': '$4,755.00', 'option 11': '$4,755.00', 'option 12': '$4,755.00', 'option 13': '$4,755.00', 'option 14': '$4,755.00', 'option 15': '$4,755.00', 'option 16': '$4,755.00', 'option 17': '$4,755.00', 'option 18': '$4,755.00', 'option 19': '$4,755.00', 'option 20': '$4,755.00', 'option 21': '$4,755.00', 'option 22': '$4,755.00', 'option 23': '$4,755.00', 'option 24': '$4,089.00', 'option 25': '$4,755.00'}","{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/2FG7_60x.jpg?v=1605556104', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/2FG7_closer_fingers_60x.jpg?v=1605556104', '2': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/UR10_2FG7_copy_60x.jpg?v=1605556104', '3': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Doosan_2FG7_2_copy_60x.jpg?v=1605556104', '4': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Omron_2FG7_2_copy_60x.jpg?v=1605556104', '5': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kuka_2FG7_2_copy_60x.jpg?v=1605556104', '6': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Fanuc_2FG7_2_copy_60x.jpg?v=1605556104', '7': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kawasaki_2FG7_2_copy_60x.jpg?v=1605556104', '8': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Yaskawa_2FG7_2_copy_60x.jpg?v=1605556104', '9': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Nachi_2FG7_2_copy_60x.jpg?v=1605556104', '10': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Hanwha_2FG7_2_copy_60x.jpg?v=1605556104', '11': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/ABB_2FG7_2_copy_60x.jpg?v=1605556104', '12': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Denso_2FG7_2_copy_60x.jpg?v=1605556104', '13': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kassow_2FG7_2_copy_60x.jpg?v=1605556104', '14': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Fanuc_CRX_2FG7_copy_60x.jpg?v=1605556104'}","{'option 0': 'No Robot Kit', 'option 1': 'UR Tool Flange Connection', 'option 2': 'UR Kit with Compute Box', 'option 3': 'Doosan', 'option 4': 'Techman/Omron TM', 'option 5': 'KUKA Type A', 'option 6': 'KUKA Type B', 'option 7': 'FANUC Type B', 'option 8': 'FANUC (CRX)', 'option 9': 'Kawasaki Type B', 'option 10': 'Kawasaki Type C', 'option 11': 'Kawasaki Type D', 'option 12': 'Kawasaki Type E', 'option 13': 'Yaskawa Type F', 'option 14': 'Yaskawa Type G', 'option 15': 'Yaskawa Type H', 'option 16': 'Nachi Type I', 'option 17': 'Nachi Type J', 'option 18': 'Hanwha', 'option 19': 'ABB Type B', 'option 20': 'ABB Type C', 'option 21': 'Denso Type B', 'option 22': 'Denso Type C', 'option 23': 'Kassow Tool Flange Connection', 'option 24': 'Kassow Kit with Compute Box'}","Home>All Products>OnRobot 2FG7 - Sealed, Compact 2-Fing...","The OnRobot 2FG7 is smaller and more powerful than many other 2 finger grippers, and it is perfect for use in applications with limited space. Boasting a maximum payload of 11 kg (24.3 lb), an external grip range of up to 73 mm (2.87 in), and a gripping force of 20 N to 140 N, the versatile OnRobot 2FG7 can easily handle heavy or bulky payloads. And with IP67 rating for harsh environments and ISO Class 5 certification for cleanroom use, the OnRobot 2FG7 is ready to work almost anywhere you need it.  Free shipping! Mount Options: Robot Kit Options: (Click to enlarge) 
 "
https://thinkbotsolutions.com//collections/all/products/onrobot-angle-bracket,OnRobot,OnRobot Angle Bracket - 90 Degrees,{'NO Option': '$200'},"{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Anglebracket_60x.jpg?v=1596660376', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Anglebracketwith3FG15_60x.jpg?v=1596660376', '2': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Anglebracketabove2_60x.jpg?v=1596660376', '3': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Anglebracketabove_60x.jpg?v=1596660376'}",{},Home>All Products>OnRobot Angle Bracket - 90 Degrees,The OnRobot Angle Bracket enables you to attach tools at a 90-degree angle to the robot flange. This improves the tool's ability to fit into tight spaces and it can lower the risk of the robot arm going into singularity. Shipping: $30 per shipment. 
https://thinkbotsolutions.com//collections/all/products/easyrobotics-easypedestal,EasyRobotics,EasyRobotics EasyPedestal - Small Footprint Fixed Pedestal,{},"{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/easypedestal-front_60x.jpg?v=1596510462', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/easypedestal-side_60x.jpg?v=1596511064', '2': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/easypedestal-cable-path_60x.jpg?v=1596511064', '3': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/easypedestal-rear_60x.jpg?v=1596511064'}",{},Home>All Products>EasyRobotics EasyPedestal - Small Foo...,"The EasyRobotics EasyPedestal is a fixed pedestal with a small footprint, made to support most collaborative robot brands. It is constructed from durable 6 mm powder-coated steel plates with integrated cable guides. The design provides a stable 72 kg (158 lb) platform when fixed to the ground with up to eight 8 mm screws. The compartment fits and protects the robot controller and other electrical/pneumatic hardware from the environment. The EasyPedestal can be used either by itself or together with the ProFeeder Compact. (Robot arm optional)"
https://thinkbotsolutions.com//collections/all/products/onrobot-screwdriver-accessory-kit,OnRobot,OnRobot Screwdriver Accessory Kit - For Various Screw Types and Sizes,"{'option 0': '$900.00', 'option 1': '$900.00'}","{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Screwdriver_acc_kit_METRIC_60x.jpg?v=1616209628', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Screwdriver_acc_kit_US_Standard_60x.jpg?v=1616209628'}","{'option 0': 'Metric', 'option 1': 'US Imperial'}",Home>All Products>OnRobot Screwdriver Accessory Kit - F...,"The OnRobot Screwdriver Accessory Kit provides a variety of different bits, bit holders, carriers, and fixes to support a wide range of different screw types and sizes for your OnRobot Screwdriver. Two different kits are available - choose the kit that fits your screws. Or choose both: Save $180 when purchasing the Accessory Kit together with the Screwdriver! Shipping: $30 per shipment. Metric:  US Imperial: Metric:  US Imperial:"
https://thinkbotsolutions.com//collections/all/products/onrobot-rail-for-screw-feeder-m2-m6,OnRobot,OnRobot Rail - For Screw Feeder M2-M6,"{'option 0': '$230.00', 'option 1': '$230.00', 'option 2': '$230.00', 'option 3': '$230.00', 'option 4': '$230.00', 'option 5': '$230.00', 'option 6': '$230.00'}",{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Screw_feeder_rail_8a4d53a8-8141-401c-96be-39615d373b52_60x.jpg?v=1592619415'},"{'option 0': 'M2', 'option 1': 'M2.2-M2.3', 'option 2': 'M3', 'option 3': 'M3.5', 'option 4': 'M4', 'option 5': 'M5', 'option 6': 'M6'}",Home>All Products>OnRobot Rail - For Screw Feeder M2-M6,"The OnRobot Rail allows you to change the supported screw size on your OnRobot Screw Feeder M2-M6. The OnRobot Screw Feeder M2-M6 supports different rail sizes from M2 to M6. The screw feeder is typically shipped with your choice of rail size premounted, but you can buy rails separately to support other screw sizes. The OnRobot Rail is not compatible with the OnRobot Screw Feeder M1.6 which comes with an integrated rail for M1.6 size screws and it cannot be changed to support other screw sizes. The OnRobot Screw Feeder provides automatic feeding of screws for your OnRobot Screwdriver. OnRobot offers seven different Screw Feeder Rail sizes:   Free shipping!"
https://thinkbotsolutions.com//collections/all/products/onrobot-screw-feeder,OnRobot,OnRobot Screw Feeder - For Screw Sizes M1.6 to M6,"{'option 0': '$2,145.00', 'option 1': '$2,130.00', 'option 2': '$2,130.00', 'option 3': '$2,130.00', 'option 4': '$2,130.00', 'option 5': '$2,130.00', 'option 6': '$2,130.00', 'option 7': '$2,130.00', 'option 8': '$1,900.00'}","{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Screw_feeder_NSRI_60x.jpg?v=1592594783', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Screw_feeder_OM26R_60x.jpg?v=1592594783'}","{'option 0': 'M1.6', 'option 1': 'M2-M6 (M2 Rail premounted)', 'option 2': 'M2-M6 (M2.2-M2.3 Rail premounted)', 'option 3': 'M2-M6 (M3 Rail premounted)', 'option 4': 'M2-M6 (M3.5 Rail premounted)', 'option 5': 'M2-M6 (M4 Rail premounted)', 'option 6': 'M2-M6 (M5 Rail premounted)', 'option 7': 'M2-M6 (M6 Rail premounted)', 'option 8': 'M2-M6 (no rail premounted)'}",Home>All Products>OnRobot Screw Feeder - For Screw Size...,"The OnRobot Screw Feeder provides automatic feeding of screws for your screwdriving application. Works perfectly with the OnRobot Screwdriver. OnRobot offers two different Screw Feeder models; The OnRobot Screw Feeder M1.6 comes with an integrated rail for M1.6 size screws and it cannot be changed to support other screw sizes. The OnRobot Screw Feeder M2-M6 supports different rail sizes from M2 to M6. The screw feeder is shipped with your choice of rail size premounted, but you can order more rails separately to use with other screw sizes. Free shipping!"
https://thinkbotsolutions.com//collections/all/products/onrobot-dual-quick-changer-4-5a,OnRobot,OnRobot Dual Quick Changer 4.5A - For Dual Gripper and Screwdriver Applications,"{'option 0': '$2,215.00', 'option 1': '$2,955.00', 'option 2': '$2,955.00', 'option 3': '$2,955.00', 'option 4': '$2,955.00', 'option 5': '$2,955.00', 'option 6': '$2,955.00', 'option 7': '$2,955.00', 'option 8': '$2,955.00', 'option 9': '$2,955.00', 'option 10': '$2,955.00', 'option 11': '$2,955.00', 'option 12': '$2,955.00', 'option 13': '$2,955.00', 'option 14': '$2,955.00', 'option 15': '$2,955.00', 'option 16': '$2,955.00', 'option 17': '$2,955.00', 'option 18': '$2,955.00', 'option 19': '$2,955.00', 'option 20': '$2,955.00', 'option 21': '$2,955.00'}","{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/OnRobot_Dual_Mount_9ff5209a-bce1-4042-9237-5ecc909c570c_60x.jpg?v=1592539477', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/UR_Dual_RG2_dc495cd0-a508-46f4-bcd8-d86173a636cb_60x.jpg?v=1592539477', '2': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/DOOSAN_Dual_RG2_bb79ea49-f6aa-45b8-a0f1-0e193363d058_60x.jpg?v=1592539477', '3': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/TECHMAN_Dual_RG2_e4832034-e4d3-49e6-b1c0-b5d790442701_60x.jpg?v=1592539477', '4': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/KUKA_Dual_RG2_fd6772fa-1a76-4c78-afaa-cd2449748f91_60x.jpg?v=1592539478', '5': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/FANUC_DUAL_RG2_2_62fb99b6-f050-47fa-9d6e-a9bfdfa88209_60x.jpg?v=1592539478', '6': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kawasaki_Dual_Rg2_08a68579-4c67-47ed-a5e3-9be99c77505d_60x.jpg?v=1592539478', '7': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Yaskawa_Dual_Rg2_9c53d91b-2abc-465a-acc0-65b286cb0144_60x.jpg?v=1592539479', '8': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Nachi_Dual_Rg2_76274c30-c44e-4e88-89ba-07808a23a01c_60x.jpg?v=1592539479', '9': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Hanwha_prod_Dual_RG2_dd70c671-6a1a-4dac-8a51-ad72d878c68d_60x.jpg?v=1592539480', '10': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/ABB_Dual_RG2_60x.jpg?v=1598339701', '11': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Denso_DUAL_RG2_2_60x.jpg?v=1598339723', '12': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kassow_RG2_VG10_2_60x.jpg?v=1598339740'}","{'option 0': 'No Robot Kit - Dual Quick Changer Only', 'option 1': 'UR Kit with Compute Box', 'option 2': 'Doosan', 'option 3': 'Techman/Omron TM', 'option 4': 'KUKA Type A', 'option 5': 'KUKA Type B', 'option 6': 'FANUC', 'option 7': 'Kawasaki Type B', 'option 8': 'Kawasaki Type C', 'option 9': 'Kawasaki Type D', 'option 10': 'Kawasaki Type E', 'option 11': 'Yaskawa Type F', 'option 12': 'Yaskawa Type G', 'option 13': 'Yaskawa Type H', 'option 14': 'Nachi Type I', 'option 15': 'Nachi Type J', 'option 16': 'Hanwha', 'option 17': 'ABB Type B', 'option 18': 'ABB Type C', 'option 19': 'Denso Type B', 'option 20': 'Denso Type C', 'option 21': 'Kassow Kit with Compute Box'}",Home>All Products>OnRobot Dual Quick Changer 4.5A - For...,"Note: Grippers not included! The new OnRobot Dual Quick Changer allows the use of two OnRobot grippers at the same time. For example, you can use two RG2 grippers or an RG6 gripper with a VG10 - the combination is up to you. The OnRobot Dual Quick Changer also allows quick switching between grippers without disconnecting any cables. The OnRobot Dual Quick Changer fits Universal Robots and many other industrial robot arms. It supports all OnRobot QC grippers (except for the RG2-FT). This is the new 4.5A version that works with the OnRobot Screwdriver. Free shipping! Features: Mount Options: Robot Kit Options:"
https://thinkbotsolutions.com//collections/all/products/onrobot-screwdriver,OnRobot,OnRobot Screwdriver - Smart and Safe with Active Z-axis,"{'option 0': '$6,445.00', 'option 1': '$7,650.00', 'option 2': '$7,650.00', 'option 3': '$7,650.00', 'option 4': '$7,650.00', 'option 5': '$7,650.00', 'option 6': '$7,650.00', 'option 7': '$7,650.00', 'option 8': '$7,650.00', 'option 9': '$7,650.00', 'option 10': '$7,650.00', 'option 11': '$7,650.00', 'option 12': '$7,650.00', 'option 13': '$7,650.00', 'option 14': '$7,650.00', 'option 15': '$7,650.00', 'option 16': '$7,650.00', 'option 17': '$7,650.00', 'option 18': '$7,650.00', 'option 19': '$7,650.00', 'option 20': '$7,650.00', 'option 21': '$7,650.00'}","{'0': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Screwdriver_A_60x.jpg?v=1592580426', '1': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Screwdriver_B_BIT_PLS_zoom_60x.jpg?v=1592580426', '2': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/UR10_Screwdriver_60x.jpg?v=1592580426', '3': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Doosan_Screwdriver_2_60x.jpg?v=1592580426', '4': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Techman_Omron_Screwdriver_2_60x.jpg?v=1592580426', '5': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kuka_Screwdriver_2_60x.jpg?v=1592580426', '6': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Fanuc_Screwdriver_2_60x.jpg?v=1592580426', '7': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kawasaki_Screwdriver_2_60x.jpg?v=1592580426', '8': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Yaskawa_Screwdriver_2_60x.jpg?v=1592580426', '9': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Nachi_Screwdriver_2_60x.jpg?v=1592580426', '10': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Hanwha_Screwdriver_2_60x.jpg?v=1592580426', '11': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/ABB_Screwdriver_2_60x.jpg?v=1592580426', '12': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Denso_Screwdriver_2_60x.jpg?v=1598500134', '13': 'http://cdn.shopify.com/s/files/1/0253/6200/6096/products/Kassow_SCREWDRIVER_2_60x.jpg?v=1598500144'}","{'option 0': 'No Robot Kit', 'option 1': 'UR Kit with Compute Box', 'option 2': 'Doosan', 'option 3': 'Techman/Omron TM', 'option 4': 'KUKA Type A', 'option 5': 'KUKA Type B', 'option 6': 'FANUC', 'option 7': 'Kawasaki Type B', 'option 8': 'Kawasaki Type C', 'option 9': 'Kawasaki Type D', 'option 10': 'Kawasaki Type E', 'option 11': 'Yaskawa Type F', 'option 12': 'Yaskawa Type G', 'option 13': 'Yaskawa Type H', 'option 14': 'Nachi Type I', 'option 15': 'Nachi Type J', 'option 16': 'Hanwha', 'option 17': 'ABB Type B', 'option 18': 'ABB Type C', 'option 19': 'Denso Type B', 'option 20': 'Denso Type C', 'option 21': 'Kassow Kit with Compute Box'}",Home>All Products>OnRobot Screwdriver - Smart and Safe ...,"The OnRobot Screwdriver is a smart screwdriver with precise torque control and built-in active Z-axis that allows you to build a robotic screwdriving application faster than ever before. The embedded Z-axis provides the movement during screwing/unscrewing so the robot doesn't have to move. To improve safety, it also retracts and hides the screw after pickup so the screw and bit cannot hit the operator. Changeovers to a different screw type or size only take a few minutes, reducing downtime and boosting your ROI. Add the OnRobot Screwdriver Accessory Kit to support a wide range of different screw types and sizes. Save $180 when purchasing the Accessory Kit together with the Screwdriver! Add the OnRobot Screw Feeder for automatic screw feeding. Note! The OnRobot Screwdriver cannot currently be used with the OnRobot Eyes (and OnRobot Eye Box) as the power supply is not able to provide sufficient power to both devices. The OnRobot Screwdriver requires the new 4.5A version of the single or Dual Quick Changer and Compute Box revision CB3.4 or later. Free shipping! Mount Options: Robot Kit Options:"
